"Report Refresh Date";"Owner Principal Name";"Is Deleted";"Last Activity Date";"Report Period";"Site Id";"Site URL";"Owner Display Name";"Site Sensitivity Label Id";"External Sharing";"Unmanaged Device Policy";"Geo Location";"File Count";"Active File Count";"Page View Count";"Visited Page Count";"Anonymous Link Count";"Company Link Count";"Secure Link For Guest Count";"Secure Link For Member Count";"Storage Used (Byte)";"Storage Allocated (Byte)";"Root Web Template"
"2023-07-30";"772@anonimo.com";"False";"2020-02-27";180;"00246b92-a56d-4cae-b765-0f7ce0033e04";"https://lanlinkonline.sharepoint.com/sites/EstudoFrancs";;;"True";"None";"BRA";7;0;0;0;0;0;0;0;170544203;1099511627776;"Group"
"2023-07-30";"3942@anonimo.com";"False";;180;"002d12c1-8b9e-436b-be0a-19dcd9a3b1be";"https://lanlinkonline.sharepoint.com/sites/equipedev";;;"True";"None";"BRA";0;0;0;0;0;0;0;0;1511048;1099511627776;"Group"
"2023-07-30";"2239@anonimo.com";"False";"2022-08-04";180;"00394d5d-922e-48ac-b0b0-1158af333b12";"https://lanlinkonline.sharepoint.com/sites/NovasOfertasBUDOS";;;"True";"None";"BRA";21;0;0;0;0;0;0;0;678321214;1099511627776;"Group"
"2023-07-30";"2511@anonimo.com";"False";"2022-06-10";180;"0060fd34-d516-49e8-9266-22abf14e1953";"https://lanlinkonline.sharepoint.com/sites/RECONFIGURAOPLANILHASDINAMICAS";;;"True";"None";"BRA";4;0;0;0;0;0;0;0;81283530;1099511627776;"Group"
"2023-07-30";"2514@anonimo.com";"False";"2022-05-31";180;"007bcfac-3ada-4ba0-b7c6-c8af92b8efa4";"https://lanlinkonline.sharepoint.com/sites/REPASSE";;;"True";"None";"BRA";13;0;0;0;0;0;0;0;3216794;1099511627776;"Group"
"2023-07-30";"1649@anonimo.com";"False";"2020-10-09";180;"0094b0e1-37b1-42bc-b97f-bfe06e5ce29a";"https://lanlinkonline.sharepoint.com/sites/HAPVIDA-MigraodeFileServer";;;"True";"None";"BRA";4;0;0;0;0;0;0;0;11196126;1099511627776;"Group"
"2023-07-30";"3687@anonimo.com";"False";"2023-07-25";180;"009ae805-9daa-42a0-8e25-86677a37996f";"https://lanlinkonline.sharepoint.com/sites/ConsumoCDP";;;"True";"None";"BRA";4;3;0;0;0;0;0;0;1686187;1099511627776;"Group"
"2023-07-30";"1628@anonimo.com";"False";;180;"00a75a11-9c40-4941-9239-a8767b85b5b6";"https://lanlinkonline.sharepoint.com/sites/Gestodiria-ChamadosdaInfra";;;"True";"None";"BRA";0;0;0;0;0;0;0;0;1459176;1099511627776;"Group"
"2023-07-30";"2201@anonimo.com";"False";;180;"00acdfa4-6938-4eaf-be8c-05544f93078c";"https://lanlinkonline.sharepoint.com/sites/MinhasTarefas113";;;"True";"None";"BRA";0;0;0;0;0;0;0;0;1452643;1099511627776;"Group"
"2023-07-30";"223@anonimo.com";"False";;180;"0112ae69-925d-4152-a0d6-fc289b0f744b";"https://lanlinkonline.sharepoint.com/sites/Atividades-Letcia";;;"True";"None";"BRA";0;0;0;0;0;0;0;0;1455260;1099511627776;"Group"
"2023-07-30";"598@anonimo.com";"False";;180;"01190cd8-0508-4b33-871d-e91bc3f96f4e";"https://lanlinkonline.sharepoint.com/sites/DERWorkshop2";;;"True";"None";"BRA";2;0;0;0;0;0;0;0;1658570;1099511627776;"Group"
"2023-07-30";"2297@anonimo.com";"False";;180;"0121ae69-0e7e-40f9-8e27-cc610c292f17";"https://lanlinkonline.sharepoint.com/sites/PMenosWorkshop";;;"True";"None";"BRA";1;0;0;0;0;0;0;0;2216163;1099511627776;"Group"
"2023-07-30";"3058@anonimo.com";"False";"2023-07-27";180;"01418f1c-6303-44d4-a68e-34aa89b0f795";"https://lanlinkonline.sharepoint.com/sites/TimeLOGSTICA";;;"True";"None";"BRA";24;21;2;2;0;0;0;0;8555394;1099511627776;"Group"
"2023-07-30";"4114@anonimo.com";"False";"2020-05-12";180;"0187349f-2b83-413e-9d64-80bdbcc0f994";"https://lanlinkonline.sharepoint.com/sites/flashwedo";;;"True";"None";"BRA";2;0;0;0;0;0;0;0;1530034;1099511627776;"Group"
"2023-07-30";"2778@anonimo.com";"False";"2023-03-23";180;"018adc4c-be0e-485f-9db3-3f4b22df0b82";"https://lanlinkonline.sharepoint.com/sites/TCNICOSN2-TJRN";;;"True";"None";"BRA";7;1;1;1;0;0;0;0;1683818;1099511627776;"Group"
"2023-07-30";"2245@anonimo.com";"False";"2022-02-23";180;"019f5ac6-a9c0-4ba3-834f-059280fdc3a5";"https://lanlinkonline.sharepoint.com/sites/Nsquipe";;;"True";"None";"BRA";24;0;0;0;0;0;0;0;7383981;1099511627776;"Group"
"2023-07-30";"2430@anonimo.com";"False";"2020-04-09";180;"01a22021-cf7b-4c9a-abc9-9f731cb6f0ba";"https://lanlinkonline.sharepoint.com/sites/ProjetoAzureBamaq";;;"True";"None";"BRA";4;0;0;0;0;0;0;0;1869846;1099511627776;"Group"
"2023-07-30";"3019@anonimo.com";"False";;180;"01c24081-7db7-4916-81eb-3e21fbfbad68";"https://lanlinkonline.sharepoint.com/sites/TestePlannerMP-RO";;;"True";"None";"BRA";0;0;0;0;0;0;0;0;1457954;1099511627776;"Group"
"2023-07-30";"2777@anonimo.com";"False";"2021-07-05";180;"01c8b043-5e8d-403b-825a-332487fda84a";"https://lanlinkonline.sharepoint.com/sites/TCESP-atendimento";;;"True";"None";"BRA";4;0;0;0;0;0;0;0;1964379;1099511627776;"Group"
"2023-07-30";"3003@anonimo.com";"False";"2021-05-11";180;"01dba164-4d9f-443b-bc16-b3ff91c8dc0c";"https://lanlinkonline.sharepoint.com/sites/TesteFailoverREC";;;"True";"None";"BRA";8;0;0;0;0;0;0;0;1653540;1099511627776;"Group"
"2023-07-30";"2281@anonimo.com";"False";"2023-07-27";180;"01e061f5-e42e-49ed-9fcf-07052deab33c";"https://lanlinkonline.sharepoint.com/sites/PE2023-ContedoeComunicao";;;"True";"None";"BRA";24;18;42;4;0;0;0;0;79454186;1099511627776;"Group"
